"ean","nombre"
"7790770601899","Toalla Nosotras Clasicas C Calendula x 16u"
"7790070318398","Fideos Dedalitos Lucchetti Bolsa x 500 Grs"
"7622201808860","Galletitas Boca de Dama Terrabusi x 170 Grs"
"7791293050089","Acondicionador Liso Efecto Botox Tresemme x 250 Cc"
"7791905023210","Lavandina Original Odex x 2 Lt"
"7798136041525","Perfume Aromatizador Freshline Aqua Spar Rombo"
"7792798002726","Cerveza Origen Ipa Andes Lata x 473 Cc"
"7791720034873","Jugo Manzana Carrefour Classic Tetra x 1 Lt"
"7798108349161","Atun Al Natural Lomitos Carrefour Lata x 354 Grs"
"7798031470635","Pochoclo Dulce Microondas Popcorn x 87 Grs"
"7790040173200","Galletitas Kesitas Estuche x 125 Grs"
"7791564136535","Queso Azul Bavaria Trozado x 125 Grs"
"2510209000001","Costeleta Carre x 3 Huella Natural x Kg"
"9786075281568","Manga Naruto 10"
"7793253098773","Perfumante Tela Frag Sedosa Primavera Poett X250cc"
"7790894900809","Celular Libre Motorola G84 8gb 256gb Ballad Blue"
"7790639003444","Gaseosa Tonica Classic Cunnington x 2.25 Lt"
"8445290624819","Cafe Tostado Molido Blonde Starbucks x 250 Grs"
"7790528010256","Pano Texas Esponja Doble 44x48"
"7791720039748","Galletitas Surtido Rellenas Bulnez x 350 Grs"
"7791813420385","Gaseosa Pomelo Regular Paso de los Toros Pet X500c"
"7791720045145","Yogur Colchon Dur Carrefour Extra Frasco x 200 Gr"
"7500435209632","Shampoo Equilibrio Pantene x 200 Cc"
"7791720030608","Enjuague Bucal Mentol Carrefour Soft Bot x 65 Cc"
"7793015000440","Termo Lumilagro 1 L Terra"
"7793147570927","Cerveza Blanca Warsteiner Lata x 473 Cc"
"7790132009158","Destapacanerias Liquido Plomero x 1 L"
"7792319972248","Vino Rosado Cosecha Tardia Norton x 750 Cc"
"7790580132170","Mermelada Damasco Arcor x 454 Grs"
"8445290256270","Cafe Instantaneo Caramel Dolca x 125 Grs"
"4006000063102","Crema para Manos Intensive Lata Atrix x 150 Gr"
"7793147570866","Cerveza Blanca Grolsch Lata x 473 Cc"
"7791813402022","Agua Saborizada Limon S Gas H2oh x 500 Cc"
"7798294150046","Alfajor S Tacc Ddl Angiola Bolsa x 50 Grs"
"7798178172263","Aromatizador Textil Urban Fresh Coco Vainilla"
"7790010100922","Silla de Camping Azul"
"7790480008254","Te en Saquitos Green Hills x 25 Uni"
"79400052926","Antitranspirante Femen Crema Clinical Rexona x 48g"
"7793670000670","Yerba Mate con Menta Verdeflor x 500 Grs"
"7798111007843","Desodorante Amb Vainilla Aero Carrefour x 360 Cc"
"7794990177523","Queso en Hebras Italiano la Paulina Fp x 125 Grm"
"7790990001950","Jabon de Tocador Vitalidad Citrica Limol 3 x 90grs"
"7791720039632","Granas Verdes Carrefour Classic x 50 Gr"
"7791720030035","Lentejas Secas Remoj S Sal Classic X300grs"
"7791720042830","Rebozador Bulnez x 500 Grs"
"7790580142995","Tableta Chocolate Amargo 80 Cacao Aguila x 150 Grs"
"2648376000002","Esmalte Sintetico Al Agua Blanco Satinado 0.5 Lt"
"8445290572875","Alimento Gatos Felix Gatitos Megamix 3kg"
"724751034427","Mozzarella Sheese x 500 Grs."
"7798422850978","Servilletas Rayas Plata X20 Uds Mesa Hogar"
"7790742348203","Leche Desc 2% Bienestar la Serenisima Sachet 1 Lt"
"7792590001156","Harina de Trigo para Pizzas Caserita x 1 Kg"
"7793913013474","Arroz con Leche C Canela Tregar Pote x 180 Grs"
"8445291053212","Cafe Cremoso Chocomocha Instant Dolca x 125 Grs"
"7791813000433","Gaseosa Cola Black Twist Pepsi Lata x 354 Cc"
"7793147573492","Cerveza Blanca Miller Ed L Porron x 330 Cc"
"7790260013157","Licor de Menta Tres Plumas x 700 Cc"
"7797026960700","Auricular C Cable Stromberg Mod Wirez Negro"
"2920725000001","Laurel en Hojas x 25 Grs"
"7791720028247","Papas Fritas Tradicional Carrefour Classic x 150 G"
"7791720034439","Aji Molido Carrefour Classic Sobre x 25 Grs"
"7798152222380","Miel Liquida de Pradera Carrefour x 500 Grs"
"7790150210000","Te Intenso la Virginia x 20 Un"
"7798126060529","Tender Fs 8 Varillas"
"7790380003809","Turron de Mani Namur x 25 Grs"
"9789500771962","Lb Gaturro 40 (tiras)"
"3614225108853","Color Perm T 67 Chocolate Koleston x 1 Uni"
"7792798013951","Cerveza Rubia 1890 Quilmes Lata x 473 Cc"
"7791019000060","Copos de Maiz Azucarados 3 Arroyos Bolsa x 200 Grs"
"7891000345481","Caldo de Gallina Cubos Maggi x 12 Uni"
"7792798009107","Cerveza Blanca Quilmes 0.0 Lata x 473 Cc"
"7790158229509","Miel Liquida Mielera Aleluya Pet x 500 Grs"
"7791720017159","Madalenas Choco Rell Ddl Carrefour Bolsa x 215gr"
"7794640170102","Antitranspirante Rollon Delicious Hinds x 60cc"
"70942303194","Hilo Dental Gum x 129 Mts"
"7798171730026","Chips Batata S Tacc Nuestros Sabores x 70 Grs"
"7790900001155","Palitos para Brochette x 25 Uni"
"7791720024881","Mate Cocido en Saquitos S Tacc Carrefour x 50 Uni"
"7790742373908","Queso Cremon Original la Serenisima x 280 Grs"
"2509964000005","Queso la Serenisima Port Salut Sin Sal Frac x Kg"
"7796835130793","Gavetero Silver Shadow Plastico 16 Divisiones"
"1736403","Esqueleto Plastico Schneider"
"7790538009561","Galletas de Arroz C Sesamo y Sal Arrocitas X101g"
"7793913013528","Yogur Entero Sabor Frutilla Tregar X125 Grs"
"8445290615893","Alimento Multicereal S Azucar Nestum x 225 Grs"
"2617200000006","Barniz Sintetico Brillante 1l"
"7790240128673","Vino Tinto Malbec Reserva Fond de Cave x 750 Cc"
"7798033337035","Te Manzanilla en Saquitos Carrefour x 25 Uni"
"7790070336002","Fideos S Tacc Spaghetti Matarazzo x 500 Grs"
"7793253003272","Perfumante Tela Fraga Sedosa Prima Poett Dp X250cc"
"7791720031926","Premezcla de Bizcochuelo Limon Bulnez x 480 Grs"
"7790522118408","Fusilli Al Huevo x 500 Grs"
"7798095221228","Huagro Ciper Lpu x 500 Cc"
"7798033332641","Vinagre de Alcohol Carrefour Pet x 1 Lt"
"7798183020351","Provoleta Parrillera Tres Pimientas x 220 Grs"
"7791398072511","Mamadera Silicona 250 Ml Fr 6m"
"7790590016507","Fosforos Fragata x 220 Uni"
"7791720016114","Tostadas de Arroz Aireadas Carrefour x 110 Grs"
"7896007552962","Ropa Interior Talle G Xg Plenitud Classic x 8 Uni"
"7798159718381","Tostadas Gruesas Clasic S Sal Carrefour x 180g"
"8023277129139","Depiladora Ga.mamod Skin Pro Go Ii"
"7798085681841","Jugo de Naranja Clasica Citric Tetra x 1.5 Lt"
"3616958749686","Mochila 39 Cm"
"8697828877710","Plato Postre Soho T24 Bb Blue 22 Cm"
"7798112022180","Body Splash Cream Caramel Karina Rabolini x 200 Cc"
"77919311","Barra Arroz Banada Choc Blan Lulemuu Paquete X12gr"
"7793008017936","Tintura en Shampoo 5 Min Rubio Issue x 1 Uni"
"7791203001231","Vino Tinto Malbec Luigi Bosca x 750 Cc"
"7790990000861","Jabon de Humectacion Energia Plusbelle 3 x 120 Grs"
"7790150396186","Te Frutilla la Virginia x 20 Uni"
"7891103221057","Leche Condensada Carrefour Tetra x 395 Grs"
"7791398072535","Mamadera Silicona 140 Ml Fr 6m"
"7790670050650","Hamburguesa Paty Clasico Caja x 4 Uni"
"7792180004741","Pan Rallado Forticifado Mama Cocina x 500 Grs"
"7790117003232","Bolsa Astan de Residuos 50x70cm Rollo X30"
"7791720028506","Queso Crema Light Carrefour Classic x 290 Grs"
"740617298703","Memoria 128 Gb Kingston Microsd Clase10 C a 100mb"
"703980814789","Cuchilla Panera Kuche Nylon Mango Rojo"
"7791720027585","Papas Fritas Barbacoa Carrefour Tubo x 140grs"
"7791720044384","Galletita Cookie Vain y Chips Carrefour Extra X30g"
"7798282170865","Rollo Papel Manteca Bulnez X4 Mts"
"7798033339534","Pano Multiuso Carrefour Flow Pack x 1 Uni"
"7792180143877","Arroz C Salsa de Queso Instantanea Menu Box x 85gr"
"7798104300012","Te Verde Chai Saquitos Inti Zen x 15 Uni"
"7792170555314","Avena Extra Fina Quaker Caja x 470 Grs"
"7791337007321","Yogur Ent Vainilla Yogurisimo Cremix x 120 Grs"
"7790670052708","Medallon Calabaza Choclo Veggies Green Life X380g"
"7799155000173","Agua Mineral Sin Gas Villavicencio Pet x 500 Cc"
"7791337007956","Bebida a Base Almendras Sabor Chocolate Silk x 1l"
"7797453001540","Alimento Perros Pedigree Adultos Car.veg. 1.5kg"
