"pasillo","rubro","subrubro"
"Almacén","Aceites y Aderezos","Aceites de girasol"
"Almacén","Aceites y Aderezos","Aceites de maíz"
"Almacén","Aceites y Aderezos","Aceites de oliva"
"Almacén","Aceites y Aderezos","Aceites de soja"
"Almacén","Aceites y Aderezos","Aceites blend"
"Almacén","Aceites y Aderezos","Acetos, Vinagres y Limón"
"Almacén","Aceites y Aderezos","Ketchup"
"Almacén","Aceites y Aderezos","Mayonesa"
"Almacén","Aceites y Aderezos","Mostaza"
"Almacén","Aceites y Aderezos","Sal"
"Almacén","Aceites y Aderezos","Otros aderezos"
"Almacén","Aceites y Aderezos","Salsa Golf"
"Almacén","Aceites y Aderezos","Especias"
"Almacén","Conservas","Tomates y Salsas"
"Almacén","Conservas","Conservas de frutas"
"Almacén","Conservas","Conservas de pescados"
"Almacén","Conservas","Conservas de vegetales"
"Almacén","Picadas","Aceitunas y Encurtidos"
"Almacén","Picadas","Snacks"
"Almacén","Picadas","Papas Fritas"
"Almacén","Pastas y arroce","Arroce"
"Almacén","Pastas y arroce","Arroz Integral"
"Almacén","Pastas y arroce","Arroz Largo"
"Almacén","Pastas y arroce","Arroz Parboil"
"Almacén","Pastas y arroce","Arroz Preparado"
"Almacén","Pastas y arroce","Legumbres y Semilla"
"Almacén","Repostería","Bizcochuelos"
"Almacén","Repostería","Coberturas"
"Almacén","Repostería","Premezclas dulces"
"Almacén","Repostería","Polvo para hornear y Esencias"
"Almacén","Repostería","Postres para preparar"
"Almacén","Repostería","Gelatinas"
"Almacén","Harinas","Harinas de maíz"
"Almacén","Harinas","Harinas de trigo"
"Almacén","Harinas","Premezclas saladas"
"Almacén","Harinas","Sémola"
"Almacén","Comidas listas","Bolsas saborizadoras"
"Almacén","Comidas listas","Caldos"
"Almacén","Comidas listas","Puré"
"Almacén","Comidas listas","Sopas"
"Almacén","Comidas listas","Comidas Elaboradas"
"Almacén","Golosinas y Alfajores","Turrones, obleas y confitados"
"Almacén","Golosinas y Alfajores","Snacks dulces"
"Almacén","Golosinas y Alfajores","Chocolates"
"Almacén","Golosinas y Alfajores","Caramelos y Gomitas"
"Almacén","Golosinas y Alfajores","Chicles y Chupetines"
"Almacén","Golosinas y Alfajores","Alfajores"
"Almacén","Panadería","Grisines y Tostadas"
"Almacén","Panadería","Budines y Magdalenas"
"Almacén","Panadería","Pan rallado y Rebozadores"
"Almacén","Panadería","Otras especialidades"
"Almacén","Panadería","Masas secas"
"Almacén","Panadería","Facturas y Medialunas"
"Almacén","Panadería","Panes"
"Almacén","Panadería","Pan de Hamburguesa y Pancho"
"Almacén","Panadería","Pan de molde"
"Almacén","Panadería","Pan Dulce"
"Almacén","Pastas Seca","Fideos seco"
"Almacén","Pastas Seca","Pastas rellena"
"Almacén","Pastas Seca","Fideos para Sopa"
"Almacén","Pastas Seca","Fideos para Guiso"
"Bebés y Niños","Alimentación para bebés","Leches infantiles"
"Bebés y Niños","Alimentación para bebés","Papillas"
"Bebés y Niños","Alimentación para bebés","Accesorios de Alimentación"
"Bebés y Niños","Juegos y Juguetes","Muñecos y Figuras"
"Bebés y Niños","Juegos y Juguetes","Vehículos y Pistas"
"Bebés y Niños","Juegos y Juguetes","Bloques"
"Bebés y Niños","Juegos y Juguetes","Juegos de imitación"
"Bebés y Niños","Juegos y Juguetes","Otros juegos"
"Bebés y Niños","Juegos y Juguetes","Juegos Primera Infancia"
"Bebés y Niños","Juegos y Juguetes","Juegos de exterior"
"Bebés y Niños","Juegos y Juguetes","Bicicletas y Triciclos"
"Bebés y Niños","Juegos y Juguetes","Autos, Motos y Pistas"
"Bebés y Niños","Juegos y Juguetes","Juegos de agua"
"Bebés y Niños","Juegos y Juguetes","Lanzadores"
"Bebés y Niños","Cuidado del Bebé","Colonias y aceites"
"Bebés y Niños","Cuidado del Bebé","Cremas y jabones"
"Bebés y Niños","Cuidado del Bebé","Talcos y Óleo calcáreo"
"Bebés y Niños","Cuidado del Bebé","Shampoo y Acondicionadores"
"Bebés y Niños","Cuidado del Bebé","Accesorios"
"Bebés y Niños","Cuidado del Bebé","Chupetes y Mamaderas"
"Bebés y Niños","Pañales","Pañales"
"Bebés y Niños","Pañales","Toallas húmedas"
"Bebés y Niños","Bebés","Aspiradores nasales"
"Bebés y Niños","Bebés","Campanas"
"Bebés y Niños","Cochecitos y Sillitas","Cochecitos"
"Bebés y Niños","Cochecitos y Sillitas","Andadores"
"Bebés y Niños","Cochecitos y Sillitas","Butacas para Autos"
"Bebés y Niños","Cochecitos y Sillitas","Practicunas"
"Bebés y Niños","Cambiadores y Pelelas","Cambiadores"
"Bebés y Niños","Cambiadores y Pelelas","Pelelas"
"Mascotas","Gatos","Alimento Húmedo para gatos"
"Mascotas","Gatos","Alimento Seco para gatos"
"Mascotas","Gatos","Piedritas sanitarias"
"Mascotas","Gatos","Snacks para gatos"
"Mascotas","Gatos","Juguetes y Rascadores"
"Mascotas","Gatos","Accesorios para gatos"
"Mascotas","Perros","Alimento Húmedo para perros"
"Mascotas","Perros","Alimento"
"Mascotas","Perros","Snacks y Suplementos para perros"
"Mascotas","Perros","Limpieza e Higiene para perros"
"Mascotas","Perros","Accesorios y Juguetes para perros"
"Desayuno","Para untar","Cremas de maní"
"Desayuno","Para untar","Dulces"
"Desayuno","Para untar","Mermeladas"
"Desayuno","Para untar","Miel"
"Desayuno","Para untar","Dulces de leche"
"Desayuno","Para untar","Pastas de avellanas"
"Desayuno","Infusiones y Endulzantes","Azúcar"
"Desayuno","Infusiones y Endulzantes","Edulcorantes"
"Desayuno","Infusiones y Endulzantes","Cacao"
"Desayuno","Infusiones y Endulzantes","Café"
"Desayuno","Infusiones y Endulzantes","Té"
"Desayuno","Infusiones y Endulzantes","Mate Cocido"
"Desayuno","Infusiones y Endulzantes","Yerba mate"
"Desayuno","Galletitas y Cereales","Avena y Granola"
"Desayuno","Galletitas y Cereales","Barras de cereal"
"Desayuno","Galletitas y Cereales","Cereales"
"Desayuno","Galletitas y Cereales","Galletitas saladas"
"Desayuno","Galletitas y Cereales","Galletitas dulces"
"Desayuno","Galletitas y Cereales","Galletas de arroz"
"Frescos","Fiambrería","Patés"
"Frescos","Fiambrería","Fiambres"
"Frescos","Fiambrería","Quesos duros y semiduros"
"Frescos","Fiambrería","Ricotta"
"Frescos","Fiambrería","Quesos blandos"
"Frescos","Fiambrería","Quesos en Fetas y cubos"
"Frescos","Fiambrería","Rallados y en Hebras"
"Frescos","Fiambrería","Queso crema y untables"
"Frescos","Fiambrería","Salchichas"
"Frescos","Fiambrería","Pizzas y Pizzetas"
"Frescos","Leches","Leches enteras"
"Frescos","Leches","Leches chocolatadas"
"Frescos","Leches","Leche condensada"
"Frescos","Leches","Leches descremadas"
"Frescos","Leches","Leches en polvo"
"Frescos","Leches","Bebidas vegetales"
"Frescos","Leches","Leches saborizadas"
"Frescos","Carnicería","Carnes de cerdo"
"Frescos","Carnicería","Carnes de vaca"
"Frescos","Carnicería","Embutidos"
"Frescos","Carnicería","Milanesas preparadas"
"Frescos","Carnicería","Pollo"
"Frescos","Carnicería","Carbón"
"Frescos","Lácteos","Yogures descremados"
"Frescos","Lácteos","Cremas de leche"
"Frescos","Lácteos","Mantecas y margarinas"
"Frescos","Lácteos","Postres y flanes"
"Frescos","Lácteos","Yogures enteros"
"Frescos","Pastas Frescas","Levaduras y Grasas"
"Frescos","Pastas Frescas","Pastas rellenas frescas"
