ean,pasillo,rubro,subrubro,descripcion,marca,imagen_url,nombre_dia
7790770601899,Perfumería,Protección femenina,Toallitas femeninas,"Toalla Femenina Nosotras Clásica Suave x 16 unidades con nueva tecnología CUR-V de máximo ajuste y alas asimétricas. 
• Las Toallas Nosotras Clásica Suave cuentan con tres puntos de absorción inteligente, barreras que bloquean el flujo y canales que distribuyen la menstruación para total protección.
• Tienen Alas asimétricas que NO se solapan entre sí y una forma única que se adapta a tu cuerpo moviéndose con vos para brindarte seguridad y comodidad.
• Con cubierta de tela tipo algodón suavecita al contacto con tu piel.
• Cuenta con un gel absorbente que ayuda a controlar los olores.
• Recomen",NOSOTRAS,https://ardiaprod.vteximg.com.br/arquivos/ids/369266/Toalla-Nosotras-Clasica-Suave-Curv-X-16-Ud-_1.jpg?v=639139167295530000,Toalla Nosotras Clásica Suave Curv X 16 Ud.
7790070318398,Almacén,Pastas Seca,Fideos seco,,LUCCHETTI,https://ardiaprod.vteximg.com.br/arquivos/ids/373897/Fideos-Lucchetti-Dedalitos-500-Gr-_1.jpg?v=639168576746070000,Fideos Lucchetti Dedalitos 500 Gr.
7790040173200,Desayuno,Galletitas y Cereales,Galletitas saladas,,REX,https://ardiaprod.vteximg.com.br/arquivos/ids/356669/Snacks-Kesitas-Rex-125-Gr-_1.jpg?v=638914530954130000,Snacks Kesitas Rex 125 Gr.
7791564136535,Frescos,Fiambrería,Quesos duros y semiduros,,BAVARIA,https://ardiaprod.vteximg.com.br/arquivos/ids/314533/Queso-Azul-Bavaria-125-Gr-_1.jpg?v=638599429598970000,Queso Azul Bavaria 125 Gr.
7793253098773,Limpieza,Cuidado de la ropa,Aprestos y Perfumes,"La fragancia Sedosa Primavera de Poett fue especialmente elaborada con notas exquisitas e ingredientes de alta calidad que la hace irresistible y de larga duración. Podes transformar ambientes e inspirar felicidad. Todo comienzo es mejor con aroma a rosas, fresia y jazmín. Duración de la fragancia: 15 días.",POETT,https://ardiaprod.vteximg.com.br/arquivos/ids/314224/Aromatizante-de-Tela-Poett-Fraganza-Sedosa-Primavera-gatillo-250-Ml-_1.jpg?v=638599424920500000,Aromatizante de Tela Poett Fraganza Sedosa Primavera gatillo 250 Ml.
7790639003444,Bebidas,Gaseosas,Tónica,,CUNNINGTON,https://ardiaprod.vteximg.com.br/arquivos/ids/329003/Gaseosa-Tonica-Cunnington-225-Lt-_1.jpg?v=638599630268800000,"Gaseosa Tonica Cunnington 2,25 Lt."
7791813420385,Bebidas,Gaseosas,Pomelo,,PASO DE LOS TOROS,https://ardiaprod.vteximg.com.br/arquivos/ids/364014/Gaseosa-Pomelo-Paso-de-Los-Toros-500-Ml-_1.jpg?v=639041535908270000,Gaseosa Pomelo Paso de Los Toros 500 Ml.
7793147570927,Bebidas,Cervezas,Rubia,,WARSTEINER,https://ardiaprod.vteximg.com.br/arquivos/ids/347266/Cerveza-Warsteiner-473-Ml-_1.jpg?v=638937179246730000,Cerveza Warsteiner 473 Ml.
7790132009158,Limpieza,Limpiadores,Limpiadores de baño,"El Destapacañerías Plomero Líquido cuenta con una exclusiva fórmula que llega directo a la obstrucción, rápida solución al problema de cañerías tapadas o lento desagüe. No daña las cañerías. Actúa a través del agua estancada en la pileta. Plomero líquido es seguro para cañerías, dispositivos, tanques y cañerías plásticas.",PLOLERO LIQUIDO,https://ardiaprod.vteximg.com.br/arquivos/ids/350791/Destapacañerias-Plomero-Liquido-botella-1-Lt-_1.jpg?v=638829856263800000,Destapacañerías Plomero Líquido botella 1 Lt.
7792319972248,Bebidas,Bodega,Vino Rosado,,COSECHA TARDIA,https://ardiaprod.vteximg.com.br/arquivos/ids/349693/Vino-Rosado-Dulce-Cosecha-Tardia-750-Ml-_1.jpg?v=638816036660870000,Vino Rosado Dulce Cosecha Tardia 750 Ml.
7790580132170,Desayuno,Para untar,Mermeladas,,ARCOR,https://ardiaprod.vteximg.com.br/arquivos/ids/359028/Mermelada-Damasco-Arcor-454-Gr-_1.jpg?v=638954271412630000,Mermelada Damasco Arcor 454 Gr.
7793147570866,Bebidas,Cervezas,Rubia,,GROLSCH,https://ardiaprod.vteximg.com.br/arquivos/ids/347257/Cerveza-Lata-Grolsch-473-Cc-_1.jpg?v=638785256951530000,Cerveza Lata Grolsch 473 Cc.
7790480008254,Desayuno,Infusiones y Endulzantes,Té,,GREEN HILLS,https://ardiaprod.vteximg.com.br/arquivos/ids/314521/Te-en-saquitos-Green-Hills-25-Ud-_1.jpg?v=638599429432370000,Té en saquitos Green Hills 25 Ud.
7794990177523,Frescos,Fiambrería,Rallados y en Hebras,,LA PAULINA,https://ardiaprod.vteximg.com.br/arquivos/ids/359911/Queso-en-Hebras-Italiano-La-Paulina-125-Gr-_1.jpg?v=638967239984500000,Queso en Hebras Italiano La Paulina 125 Gr.
7790742348203,Frescos,Leches,Leches enteras,"Leche parcialmente ultrapasteurizada homogeneizada, fortificada con vitaminas A y D. Libre de gluten. Fuente de vitaminas C y E.",LA SERENISIMA,https://ardiaprod.vteximg.com.br/arquivos/ids/343624/Leche-Multidefensa-2--La-Serenisima-1-Lt-_1.jpg?v=638905332910870000,Leche Multidefensa 2% La Serenisima 1 Lt.
7792590001156,Almacén,Harinas,Premezclas saladas,,CASERITA,https://ardiaprod.vteximg.com.br/arquivos/ids/355070/Harina-Fraccionada-Para-Pizza-Caserita-1-Kg-_1.jpg?v=638893885613930000,Harina Fraccionada Para Pizza Caserita 1 Kg.
7793913013474,Frescos,Lácteos,Postres y flanes,Deléitate con el Postre Arroz con Leche y Canela Tregar de 180 gramos. Este exquisito postre combina la suavidad y dulzura del arroz con la irresistible fragancia y sabor de la canela. Disfruta de la textura cremosa y el delicado equilibrio de sabores en cada cucharada.,TREGAR,https://ardiaprod.vteximg.com.br/arquivos/ids/328318/Postre-Arroz-Con-Leche-Y-Canela-Tregar-180-Gr_1.jpg?v=639167161873400000,Postre Arroz Con Leche Y Canela Tregar 180 Gr
7793147573492,Bebidas,Cervezas,Rubia,,MILLER,https://ardiaprod.vteximg.com.br/arquivos/ids/330566/Cerveza-Porron-Miller-330-Ml-_1.jpg?v=638754981658900000,Cerveza Porron Miller 330 Ml.
7792798013951,Bebidas,Cervezas,Rubia,,QUILMES,https://ardiaprod.vteximg.com.br/arquivos/ids/316600/Cerveza-Quilmes-1890-En-Lata-473-Ml-_1.jpg?v=638599462012600000,Cerveza Quilmes 1890 En Lata 473 Ml.
