ean,pasillo,rubro,subrubro,descripcion,marca,imagen_url,nombre_supertop
39800011367,Hogar,Accesorios del Hogar,Pilas y Baterias,PILA ENERGIZER C MEDIANA X 2UN,Energizer,https://supertopar.vteximg.com.br/arquivos/ids/161646/528027.jpg,Pila Energizer C Mediana x 2un
39800011398,Hogar,Accesorios del Hogar,Pilas y Baterias,PILA ENERGIZER D GRANDE X 2UN,Energizer,https://supertopar.vteximg.com.br/arquivos/ids/161647/528028.jpg,Pila Energizer D Grande x 2un
39800011626,Hogar,Accesorios del Hogar,Pilas y Baterias,BATERIA EVEREADY 9V X 1UN,Eveready,https://supertopar.vteximg.com.br/arquivos/ids/161649/528031.jpg,Bateria Eveready 9v x 1un
39800014009,Hogar,Accesorios del Hogar,Pilas y Baterias,PILAENERGIZER AAA E92 X 2UN,Energizer,https://supertopar.vteximg.com.br/arquivos/ids/161644/528025.jpg,Pila Energizer Aaa E92 x 2un
39800099099,Hogar,Accesorios del Hogar,Pilas y Baterias,PILA ENERGIZER AAA E92 X 4UN,Energizer,https://supertopar.vteximg.com.br/arquivos/ids/161650/528042.jpg,Pila Energizer Aaa E92 x 4un
40000017325,Alimentos,"Chocolates, Alfajores y Golosinas",Chocolates,CHOCOLATE M&M'S CON MANI X 150GR,M&M's,https://supertopar.vteximg.com.br/arquivos/ids/164520/165879.jpg,Chocolate M&m's con Mani x 150gr
40122342,Alimentos,Mayonesas y Aderezos,Aderezos,MOSTAZA KUHNE MEDIUM HOT X 255GR,Khune,https://supertopar.vteximg.com.br/arquivos/ids/163042/120335.jpg,Mostaza Kuhne Medium Hot x 255gr
4058075776401,Hogar,Accesorios del Hogar,Lamparas,LAMPARA LEDVANCE CLASSIC 830 5 5W,Ledvance,https://supertopar.vteximg.com.br/arquivos/ids/158855/218177.jpg,Lampara Ledvance Classic 830 5 5w
4058075776432,Hogar,Accesorios del Hogar,Lamparas,LAMPARA LEDVANCE CLASSIC 865 5 5W,Ledvance,https://supertopar.vteximg.com.br/arquivos/ids/158859/218181.jpg,Lampara Ledvance Classic 865 5 5w
4058075776456,Hogar,Accesorios del Hogar,Lamparas,LAMPARA LEDVANCE CLASSIC 8307W,Ledvance,https://supertopar.vteximg.com.br/arquivos/ids/158856/218178.jpg,Lampara Ledvance Classic 830 7w
4058075776470,Hogar,Accesorios del Hogar,Lamparas,LAMPARA LEDVANCE CLASSIC 865 7W,Ledvance,https://supertopar.vteximg.com.br/arquivos/ids/158860/218182.jpg,Lampara Ledvance Classic 865 7w
4058075776647,Hogar,Accesorios del Hogar,Lamparas,LAMPARA LEDVANCECLASSIC 865 9W X 2UN,Ledvance,https://supertopar.vteximg.com.br/arquivos/ids/158853/218174.jpg,Lampara Ledvance Classic 865 9w x 2un
5000267023601,Bebidas,Fernet y Aperitivos,Whiskys,WHISKY JOHNNIE WALKER BLACK LABELX 1LT,Johnnie Walker,https://supertopar.vteximg.com.br/arquivos/ids/157028/308055.jpg,Whisky Johnnie Walker Black Label x 1lt
5000299618417,Bebidas,Bebidas Blancas y Licores,Gin y Ginebra,GIN BEEFEATER X 700CC,Beefeater,https://supertopar.vteximg.com.br/arquivos/ids/158311/310116.jpg,Gin Beefeater x 700cc
5000299618424,Bebidas,Bebidas Blancas y Licores,Gin y Ginebra,GIN BEEFEATER X 1000CC,Beefeater,https://supertopar.vteximg.com.br/arquivos/ids/157038/310139.jpg,Gin Beefeater x 1000cc
5010106113073,Bebidas,Fernet y Aperitivos,Whiskys,WHISKY BALLANTINES ESTUCHE X 700CC,Ballantine S,https://supertopar.vteximg.com.br/arquivos/ids/158303/308123.jpg,Whisky Ballantines Estuche x 700cc
5010677715003,Bebidas,Bebidas Blancas y Licores,Gin y Ginebra,GIN BOMBAY SAPPHIRE X 750CC,Bombay Sapphire,https://supertopar.vteximg.com.br/arquivos/ids/158297/310079.jpg,Gin Bombay Sapphire x 750cc
5011007003005,Bebidas,Fernet y Aperitivos,Whiskys,WHISKY JAMESON X 700CC,Jameson,https://supertopar.vteximg.com.br/arquivos/ids/158378/308124.jpg,Whisky Jameson x 700cc
